setting,train_size,template_split,n,answer_correct,exact_answer_accuracy,structure_correct,structure_accuracy,tool_correct,tool_accuracy,base_model,adapter_path
baseline,50,seen,120,2,0.016666666666666666,,,,,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\baseline\train_50
baseline,50,unseen,120,1,0.008333333333333333,,,,,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\baseline\train_50
oracle,50,seen,120,3,0.025,,,,,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\oracle\train_50
oracle,50,unseen,120,1,0.008333333333333333,,,,,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\oracle\train_50
structure_aware,50,seen,120,1,0.008333333333333333,1,0.008333333333333333,0,0.0,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\structure_aware\train_50
structure_aware,50,unseen,120,1,0.008333333333333333,0,0.0,0,0.0,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\structure_aware\train_50
baseline,100,seen,120,2,0.016666666666666666,,,,,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\baseline\train_100
baseline,100,unseen,120,0,0.0,,,,,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\baseline\train_100
oracle,100,seen,120,3,0.025,,,,,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\oracle\train_100
oracle,100,unseen,120,0,0.0,,,,,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\oracle\train_100
structure_aware,100,seen,120,2,0.016666666666666666,38,0.31666666666666665,39,0.325,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\structure_aware\train_100
structure_aware,100,unseen,120,1,0.008333333333333333,6,0.05,5,0.041666666666666664,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\structure_aware\train_100
baseline,200,seen,120,3,0.025,,,,,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\baseline\train_200
baseline,200,unseen,120,0,0.0,,,,,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\baseline\train_200
oracle,200,seen,120,1,0.008333333333333333,,,,,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\oracle\train_200
oracle,200,unseen,120,1,0.008333333333333333,,,,,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\oracle\train_200
structure_aware,200,seen,120,3,0.025,120,1.0,120,1.0,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\structure_aware\train_200
structure_aware,200,unseen,120,0,0.0,55,0.4583333333333333,55,0.4583333333333333,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\structure_aware\train_200
baseline,500,seen,120,2,0.016666666666666666,,,,,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\baseline\train_500
baseline,500,unseen,120,3,0.025,,,,,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\baseline\train_500
oracle,500,seen,120,3,0.025,,,,,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\oracle\train_500
oracle,500,unseen,120,4,0.03333333333333333,,,,,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\oracle\train_500
structure_aware,500,seen,120,2,0.016666666666666666,120,1.0,120,1.0,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\structure_aware\train_500
structure_aware,500,unseen,120,1,0.008333333333333333,87,0.725,87,0.725,HuggingFaceTB/SmolLM2-135M-Instruct,outputs\structure_aware\train_500
