setting,train_size,template_split,n,answer_correct,exact_answer_accuracy,structure_correct,structure_accuracy,tool_correct,tool_accuracy,base_model,adapter_path
baseline,50,seen,120,8,0.06666666666666667,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\baseline\train_50
baseline,50,unseen,120,5,0.041666666666666664,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\baseline\train_50
oracle,50,seen,120,7,0.058333333333333334,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\oracle\train_50
oracle,50,unseen,120,8,0.06666666666666667,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\oracle\train_50
structure_aware,50,seen,120,12,0.1,88,0.7333333333333333,65,0.5416666666666666,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\structure_aware\train_50
structure_aware,50,unseen,120,9,0.075,49,0.4083333333333333,58,0.48333333333333334,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\structure_aware\train_50
baseline,100,seen,120,9,0.075,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\baseline\train_100
baseline,100,unseen,120,8,0.06666666666666667,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\baseline\train_100
oracle,100,seen,120,12,0.1,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\oracle\train_100
oracle,100,unseen,120,6,0.05,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\oracle\train_100
structure_aware,100,seen,120,11,0.09166666666666666,120,1.0,120,1.0,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\structure_aware\train_100
structure_aware,100,unseen,120,9,0.075,104,0.8666666666666667,94,0.7833333333333333,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\structure_aware\train_100
baseline,200,seen,120,14,0.11666666666666667,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\baseline\train_200
baseline,200,unseen,120,11,0.09166666666666666,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\baseline\train_200
oracle,200,seen,120,15,0.125,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\oracle\train_200
oracle,200,unseen,120,14,0.11666666666666667,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\oracle\train_200
structure_aware,200,seen,120,15,0.125,120,1.0,120,1.0,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\structure_aware\train_200
structure_aware,200,unseen,120,8,0.06666666666666667,110,0.9166666666666666,100,0.8333333333333334,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\structure_aware\train_200
baseline,500,seen,120,25,0.20833333333333334,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\baseline\train_500
baseline,500,unseen,120,13,0.10833333333333334,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\baseline\train_500
oracle,500,seen,120,21,0.175,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\oracle\train_500
oracle,500,unseen,120,14,0.11666666666666667,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\oracle\train_500
structure_aware,500,seen,120,23,0.19166666666666668,120,1.0,120,1.0,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\structure_aware\train_500
structure_aware,500,unseen,120,13,0.10833333333333334,110,0.9166666666666666,100,0.8333333333333334,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_original\structure_aware\train_500
