train_size,split,gold_structure,predicted_structure,count
50,seen,factorization,difference_of_squares,3
50,seen,factorization,factorization,17
50,seen,linear_elimination,linear_algebra,14
50,seen,linear_elimination,linear_equation_system,2
50,seen,linear_elimination,linear_system,4
50,seen,ratio_proportion,ratio_proportion,20
50,seen,recurrence,recurrence,16
50,seen,recurrence,recurrence_relation,4
50,seen,substitution,functional_expression,1
50,seen,substitution,polynomial_evaluation,2
50,seen,substitution,polynomial_identity,1
50,seen,substitution,polynomial_trigonometric,1
50,seen,substitution,substitution,15
50,seen,symmetric_polynomial_identity,symmetric_polynomial_identity,20
50,unseen,factorization,decomposition,1
50,unseen,factorization,difference,4
50,unseen,factorization,factorization,15
50,unseen,linear_elimination,linear_inequality,10
50,unseen,linear_elimination,linear_system,10
50,unseen,ratio_proportion,ratio_conversion,3
50,unseen,ratio_proportion,ratio_equation,10
50,unseen,ratio_proportion,ratio_proportion,5
50,unseen,ratio_proportion,ratio_proposition,2
50,unseen,recurrence,iterated_update,7
50,unseen,recurrence,recurrence,9
50,unseen,recurrence,recurrence_recurse,1
50,unseen,recurrence,recurrence_relation,2
50,unseen,recurrence,unrolled_formula,1
50,unseen,substitution,polynomial_evaluation,4
50,unseen,substitution,polynomial_factorization,8
50,unseen,substitution,polynomial_trigonometric,8
50,unseen,symmetric_polynomial_identity,symmetric_polynomial_identity,20
100,seen,factorization,factorization,20
100,seen,linear_elimination,linear_elimination,20
100,seen,ratio_proportion,ratio_proportion,20
100,seen,recurrence,recurrence,20
100,seen,substitution,substitution,20
100,seen,symmetric_polynomial_identity,symmetric_polynomial_identity,20
100,unseen,factorization,decomposition,10
100,unseen,factorization,factorization,10
100,unseen,linear_elimination,linear_elimination,20
100,unseen,ratio_proportion,ratio_proportion,20
100,unseen,recurrence,recurrence,20
100,unseen,substitution,substitution,20
100,unseen,symmetric_polynomial_identity,substitution,6
100,unseen,symmetric_polynomial_identity,symmetric_polynomial_identity,14
200,seen,factorization,factorization,20
200,seen,linear_elimination,linear_elimination,20
200,seen,ratio_proportion,ratio_proportion,20
200,seen,recurrence,recurrence,20
200,seen,substitution,substitution,20
200,seen,symmetric_polynomial_identity,symmetric_polynomial_identity,20
200,unseen,factorization,factorization,10
200,unseen,factorization,subtraction,10
200,unseen,linear_elimination,linear_elimination,20
200,unseen,ratio_proportion,ratio_proportion,20
200,unseen,recurrence,recurrence,20
200,unseen,substitution,substitution,20
200,unseen,symmetric_polynomial_identity,symmetric_polynomial_identity,20
500,seen,factorization,factorization,20
500,seen,linear_elimination,linear_elimination,20
500,seen,ratio_proportion,ratio_proportion,20
500,seen,recurrence,recurrence,20
500,seen,substitution,substitution,20
500,seen,symmetric_polynomial_identity,symmetric_polynomial_identity,20
500,unseen,factorization,factorization,10
500,unseen,factorization,subtraction,10
500,unseen,linear_elimination,linear_elimination,20
500,unseen,ratio_proportion,ratio_proportion,20
500,unseen,recurrence,recurrence,20
500,unseen,substitution,substitution,20
500,unseen,symmetric_polynomial_identity,symmetric_polynomial_identity,20
