train_size,split,gold_tool,predicted_tool,count
50,seen,expand_symmetric_identity,expand_symmetric_identity,20
50,seen,factor_difference_of_squares,fact_diff_squares,3
50,seen,factor_difference_of_squares,factor_difference_of_squares,12
50,seen,factor_difference_of_squares,factored_difference_of_squares,2
50,seen,factor_difference_of_squares,factorization,3
50,seen,solve_linear_system,solve_linear_system,20
50,seen,solve_proportion,solve_proportion,8
50,seen,solve_proportion,solve_proportions,12
50,seen,substitute_expression,evaluate_polynomial,1
50,seen,substitute_expression,simplify_expression,3
50,seen,substitute_expression,simplify_polynomial,2
50,seen,substitute_expression,substitute_expression,5
50,seen,substitute_expression,substitute_value,9
50,seen,unroll_recurrence,recurrence_relation,2
50,seen,unroll_recurrence,solve_recurrence,15
50,seen,unroll_recurrence,substitute_value,3
50,unseen,expand_symmetric_identity,expand_symmetric_identity,20
50,unseen,factor_difference_of_squares,calculate_area_difference,1
50,unseen,factor_difference_of_squares,factor_difference,4
50,unseen,factor_difference_of_squares,factor_difference_of_squares,11
50,unseen,factor_difference_of_squares,subtract_area,4
50,unseen,solve_linear_system,solve_linear_inequality,1
50,unseen,solve_linear_system,solve_linear_system,19
50,unseen,solve_proportion,divide_by_ratio,1
50,unseen,solve_proportion,inverse_conversion,2
50,unseen,solve_proportion,simplify_ratio,7
50,unseen,solve_proportion,solve_proportionality,2
50,unseen,solve_proportion,solve_proportions,5
50,unseen,solve_proportion,solve_ratio_equation,3
50,unseen,substitute_expression,evaluate_polynomial,9
50,unseen,substitute_expression,factor_polynomial,10
50,unseen,substitute_expression,simplify_polynomial,1
50,unseen,unroll_recurrence,evaluate_expression,2
50,unseen,unroll_recurrence,evaluate_recurrence,1
50,unseen,unroll_recurrence,evaluate_sequence,5
50,unseen,unroll_recurrence,expand_unrolled_formula,1
50,unseen,unroll_recurrence,simplify_recurrence,2
50,unseen,unroll_recurrence,solve_recurrence,1
50,unseen,unroll_recurrence,unroll_recurrence,8
100,seen,expand_symmetric_identity,expand_symmetric_identity,20
100,seen,factor_difference_of_squares,factor_difference_of_squares,20
100,seen,solve_linear_system,solve_linear_system,20
100,seen,solve_proportion,solve_proportion,20
100,seen,substitute_expression,substitute_expression,20
100,seen,unroll_recurrence,unroll_recurrence,20
100,unseen,expand_symmetric_identity,expand_symmetric_identity,14
100,unseen,expand_symmetric_identity,substitute_expression,6
100,unseen,factor_difference_of_squares,factor_difference_of_squares,10
100,unseen,factor_difference_of_squares,subtract_area,10
100,unseen,solve_linear_system,solve_linear_system,20
100,unseen,solve_proportion,set_ratio,10
100,unseen,solve_proportion,solve_proportion,10
100,unseen,substitute_expression,substitute_expression,20
100,unseen,unroll_recurrence,unroll_recurrence,20
200,seen,expand_symmetric_identity,expand_symmetric_identity,20
200,seen,factor_difference_of_squares,factor_difference_of_squares,20
200,seen,solve_linear_system,solve_linear_system,20
200,seen,solve_proportion,solve_proportion,20
200,seen,substitute_expression,substitute_expression,20
200,seen,unroll_recurrence,unroll_recurrence,20
200,unseen,expand_symmetric_identity,expand_symmetric_identity,20
200,unseen,factor_difference_of_squares,factor_difference_of_squares,10
200,unseen,factor_difference_of_squares,subtract_area,10
200,unseen,solve_linear_system,solve_linear_system,20
200,unseen,solve_proportion,proportionality,10
200,unseen,solve_proportion,solve_proportion,10
200,unseen,substitute_expression,substitute_expression,20
200,unseen,unroll_recurrence,unroll_recurrence,20
500,seen,expand_symmetric_identity,expand_symmetric_identity,20
500,seen,factor_difference_of_squares,factor_difference_of_squares,20
500,seen,solve_linear_system,solve_linear_system,20
500,seen,solve_proportion,solve_proportion,20
500,seen,substitute_expression,substitute_expression,20
500,seen,unroll_recurrence,unroll_recurrence,20
500,unseen,expand_symmetric_identity,expand_symmetric_identity,20
500,unseen,factor_difference_of_squares,factor_difference_of_squares,10
500,unseen,factor_difference_of_squares,subtract_area,10
500,unseen,solve_linear_system,solve_linear_system,20
500,unseen,solve_proportion,proportionality,10
500,unseen,solve_proportion,solve_proportion,10
500,unseen,substitute_expression,substitute_expression,20
500,unseen,unroll_recurrence,unroll_recurrence,20
