setting,train_size,template_split,n,answer_correct,exact_answer_accuracy,structure_correct,structure_accuracy,tool_correct,tool_accuracy,base_model,adapter_path
baseline,50,seen,120,5,0.041666666666666664,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\baseline\train_50
baseline,50,unseen,120,8,0.06666666666666667,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\baseline\train_50
oracle,50,seen,120,6,0.05,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\oracle\train_50
oracle,50,unseen,120,5,0.041666666666666664,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\oracle\train_50
structure_aware,50,seen,120,9,0.075,69,0.575,85,0.7083333333333334,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\structure_aware\train_50
structure_aware,50,unseen,120,0,0.0,10,0.08333333333333333,73,0.6083333333333333,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\structure_aware\train_50
baseline,100,seen,120,13,0.10833333333333334,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\baseline\train_100
baseline,100,unseen,120,4,0.03333333333333333,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\baseline\train_100
oracle,100,seen,120,6,0.05,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\oracle\train_100
oracle,100,unseen,120,7,0.058333333333333334,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\oracle\train_100
structure_aware,100,seen,120,14,0.11666666666666667,119,0.9916666666666667,118,0.9833333333333333,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\structure_aware\train_100
structure_aware,100,unseen,120,4,0.03333333333333333,78,0.65,96,0.8,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\structure_aware\train_100
baseline,200,seen,120,18,0.15,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\baseline\train_200
baseline,200,unseen,120,9,0.075,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\baseline\train_200
oracle,200,seen,120,10,0.08333333333333333,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\oracle\train_200
oracle,200,unseen,120,9,0.075,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\oracle\train_200
structure_aware,200,seen,120,19,0.15833333333333333,120,1.0,120,1.0,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\structure_aware\train_200
structure_aware,200,unseen,120,10,0.08333333333333333,74,0.6166666666666667,91,0.7583333333333333,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\structure_aware\train_200
baseline,500,seen,120,16,0.13333333333333333,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\baseline\train_500
baseline,500,unseen,120,11,0.09166666666666666,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\baseline\train_500
oracle,500,seen,120,21,0.175,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\oracle\train_500
oracle,500,unseen,120,10,0.08333333333333333,,,,,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\oracle\train_500
structure_aware,500,seen,120,20,0.16666666666666666,120,1.0,120,1.0,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\structure_aware\train_500
structure_aware,500,unseen,120,13,0.10833333333333334,86,0.7166666666666667,97,0.8083333333333333,Qwen/Qwen2.5-0.5B-Instruct,outputs\qwen_v2\structure_aware\train_500
