train_size,split,gold_structure,predicted_structure,count
50,seen,additive_recurrence,additive_recurrence,14
50,seen,additive_recurrence,additive_repeating,1
50,seen,additive_recurrence,additive_repeating_sequence,1
50,seen,additive_recurrence,additive_sequence,1
50,seen,additive_recurrence,recurrence_relation,3
50,seen,equivalent_ratios,equivalent_rates,5
50,seen,equivalent_ratios,equivalent_ratios,10
50,seen,equivalent_ratios,two_linear_proportions,4
50,seen,equivalent_ratios,two_ratio_to_product,1
50,seen,polynomial_identity,binomial_expansion,3
50,seen,polynomial_identity,binomial_square_product,2
50,seen,polynomial_identity,polynomial_identity,15
50,seen,symmetric_sum_product,factorization,5
50,seen,symmetric_sum_product,symmetric_sum_product,15
50,seen,transformed_expression,binomial_product,1
50,seen,transformed_expression,expanded_expression,2
50,seen,transformed_expression,expanded_product,1
50,seen,transformed_expression,polynomial_identity,7
50,seen,transformed_expression,polynomial_product,4
50,seen,transformed_expression,transformed_expression,5
50,seen,two_linear_relations,two_linear_constrains,1
50,seen,two_linear_relations,two_linear_constraints,4
50,seen,two_linear_relations,two_linear_equations,4
50,seen,two_linear_relations,two_linear_relations,10
50,seen,two_linear_relations,two_linear_transformations,1
50,unseen,additive_recurrence,additive_equation,4
50,unseen,additive_recurrence,additive_reversal,10
50,unseen,additive_recurrence,linear_equations,6
50,unseen,equivalent_ratios,equivalent_fractions,10
50,unseen,equivalent_ratios,equivalent_rates,8
50,unseen,equivalent_ratios,two_ratio_equations,1
50,unseen,equivalent_ratios,two_unit_batch,1
50,unseen,polynomial_identity,polynomial_difference,1
50,unseen,polynomial_identity,symmetric_diff,1
50,unseen,polynomial_identity,two_numbers_subtracted,1
50,unseen,polynomial_identity,two_numbers_subtraction,5
50,unseen,polynomial_identity,two_step_operations,9
50,unseen,polynomial_identity,two_subtractions,2
50,unseen,polynomial_identity,two_term_multiplication,1
50,unseen,symmetric_sum_product,split_and_square,6
50,unseen,symmetric_sum_product,split_and_square_root,2
50,unseen,symmetric_sum_product,split_into_factors,2
50,unseen,symmetric_sum_product,symmetric_sum_product,10
50,unseen,transformed_expression,polynomial_identity,6
50,unseen,transformed_expression,shifted_product,6
50,unseen,transformed_expression,symmetric_polynomial,1
50,unseen,transformed_expression,symmetric_product,4
50,unseen,transformed_expression,symmetric_sum,1
50,unseen,transformed_expression,symmetric_transform,2
50,unseen,two_linear_relations,two_linear_constraints,8
50,unseen,two_linear_relations,two_lines_intersections,1
50,unseen,two_linear_relations,two_lines_intersects,9
50,unseen,two_linear_relations,two_variables_one_constant,2
100,seen,additive_recurrence,additive_recurrence,20
100,seen,equivalent_ratios,equivalent_ratios,20
100,seen,polynomial_identity,polynomial_identity,20
100,seen,symmetric_sum_product,symmetric_sum_product,20
100,seen,transformed_expression,transformed_expression,19
100,seen,transformed_expression,transformed_expression RESPONSE: 14,1
100,seen,two_linear_relations,two_linear_relations,20
100,unseen,additive_recurrence,additive_recurrence,20
100,unseen,equivalent_ratios,equivalent_ratios,20
100,unseen,polynomial_identity,additive_identity,1
100,unseen,polynomial_identity,algebra_summation,1
100,unseen,polynomial_identity,difference,9
100,unseen,polynomial_identity,equivalent_expression,2
100,unseen,polynomial_identity,equivalent_relations,7
100,unseen,symmetric_sum_product,symmetric_sum,3
100,unseen,symmetric_sum_product,symmetric_sum_product,10
100,unseen,symmetric_sum_product,transformed_factor,1
100,unseen,symmetric_sum_product,transformed_factors,6
100,unseen,transformed_expression,transformed_expression,20
100,unseen,two_linear_relations,symmetric_possesions,4
100,unseen,two_linear_relations,symmetric_relationship,1
100,unseen,two_linear_relations,two_interacts,2
100,unseen,two_linear_relations,two_linear,2
100,unseen,two_linear_relations,two_linear_relations,8
100,unseen,two_linear_relations,two_lines,2
100,unseen,two_linear_relations,two_lines_parallel,1
200,seen,additive_recurrence,additive_recurrence,20
200,seen,equivalent_ratios,equivalent_ratios,20
200,seen,polynomial_identity,polynomial_identity,20
200,seen,symmetric_sum_product,symmetric_sum_product,20
200,seen,transformed_expression,transformed_expression,20
200,seen,two_linear_relations,two_linear_relations,20
200,unseen,additive_recurrence,additive_recurrence,20
200,unseen,equivalent_ratios,equivalent_fractions,10
200,unseen,equivalent_ratios,equivalent_ratios,9
200,unseen,equivalent_ratios,equivalent_sizes,1
200,unseen,polynomial_identity,difference_expression,8
200,unseen,polynomial_identity,equivalent_brackets,3
200,unseen,polynomial_identity,equivalent_relations,6
200,unseen,polynomial_identity,polynomial_difference,2
200,unseen,polynomial_identity,polynomial_identity,1
200,unseen,symmetric_sum_product,symmetric_sum,6
200,unseen,symmetric_sum_product,symmetric_sum_product,10
200,unseen,symmetric_sum_product,transformed_factors,4
200,unseen,transformed_expression,transformed_expression,16
200,unseen,transformed_expression,transformed_factors,4
200,unseen,two_linear_relations,intersection_coordinates,1
200,unseen,two_linear_relations,two_linear_relations,18
200,unseen,two_linear_relations,two_parallel,1
500,seen,additive_recurrence,additive_recurrence,20
500,seen,equivalent_ratios,equivalent_ratios,20
500,seen,polynomial_identity,polynomial_identity,20
500,seen,symmetric_sum_product,symmetric_sum_product,20
500,seen,transformed_expression,transformed_expression,20
500,seen,two_linear_relations,two_linear_relations,20
500,unseen,additive_recurrence,additive_recurrence,20
500,unseen,equivalent_ratios,additive_recurrence,8
500,unseen,equivalent_ratios,equivalent_ratios,12
500,unseen,polynomial_identity,additive_performances,1
500,unseen,polynomial_identity,additive_property,7
500,unseen,polynomial_identity,polynomial_identity,12
500,unseen,symmetric_sum_product,polynomial_identity,7
500,unseen,symmetric_sum_product,symmetric_sum,5
500,unseen,symmetric_sum_product,symmetric_sum_product,3
500,unseen,symmetric_sum_product,transformed_expression,4
500,unseen,symmetric_sum_product,transformed_factors,1
500,unseen,transformed_expression,symmetric_sum,1
500,unseen,transformed_expression,transformed_expression,19
500,unseen,two_linear_relations,two_linear_relations,20
