train_size,split,gold_tool,predicted_tool,count
50,seen,cross_multiplication,cross_multiplication,10
50,seen,elimination,elimination,3
50,seen,elimination,substitution,7
50,seen,expansion,expansion,26
50,seen,expansion,substitution,4
50,seen,factorization,expansion,3
50,seen,factorization,factoring,6
50,seen,factorization,factorization,11
50,seen,iteration,iteration,5
50,seen,iteration,recurrence_relation,4
50,seen,iteration,substitution,1
50,seen,proportional_scaling,division,3
50,seen,proportional_scaling,proportionality,2
50,seen,proportional_scaling,scaling,3
50,seen,proportional_scaling,scaling_factors,2
50,seen,substitution,substitution,30
50,unseen,cross_multiplication,division,5
50,unseen,cross_multiplication,elimination,3
50,unseen,cross_multiplication,elimination_theorem,2
50,unseen,elimination,substitution,10
50,unseen,expansion,expansion,30
50,unseen,factorization,expansion,10
50,unseen,factorization,factorization,10
50,unseen,iteration,iteration,3
50,unseen,iteration,iteration_counter,2
50,unseen,iteration,substitution,5
50,unseen,proportional_scaling,cross_multiplication,1
50,unseen,proportional_scaling,division,6
50,unseen,proportional_scaling,multiplication,1
50,unseen,proportional_scaling,proportionality,2
50,unseen,substitution,substitution,30
100,seen,cross_multiplication,cross_multiplication,10
100,seen,elimination,addition,1
100,seen,elimination,elimination,9
100,seen,expansion,<missing>,1
100,seen,expansion,expansion,29
100,seen,factorization,factorization,20
100,seen,iteration,iteration,10
100,seen,proportional_scaling,proportional_scaling,10
100,seen,substitution,substitution,30
100,unseen,cross_multiplication,cross_multiplication,8
100,unseen,cross_multiplication,division,2
100,unseen,elimination,elimination,2
100,unseen,elimination,substitution,8
100,unseen,expansion,expansion,30
100,unseen,factorization,expansion,1
100,unseen,factorization,factorization,10
100,unseen,factorization,multiplication,9
100,unseen,iteration,iteration,6
100,unseen,iteration,recurrence_relation,3
100,unseen,iteration,substitution,1
100,unseen,proportional_scaling,proportional_scaling,10
100,unseen,substitution,substitution,30
200,seen,cross_multiplication,cross_multiplication,10
200,seen,elimination,elimination,10
200,seen,expansion,expansion,30
200,seen,factorization,factorization,20
200,seen,iteration,iteration,10
200,seen,proportional_scaling,proportional_scaling,10
200,seen,substitution,substitution,30
200,unseen,cross_multiplication,cross_multiplication,2
200,unseen,cross_multiplication,elimination,8
200,unseen,elimination,elimination,8
200,unseen,elimination,substitution,2
200,unseen,expansion,expansion,30
200,unseen,factorization,expansion,10
200,unseen,factorization,factorization,10
200,unseen,iteration,iteration,9
200,unseen,iteration,substitution,1
200,unseen,proportional_scaling,multiplication,8
200,unseen,proportional_scaling,proportional_scaling,2
200,unseen,substitution,substitution,30
500,seen,cross_multiplication,cross_multiplication,10
500,seen,elimination,elimination,10
500,seen,expansion,expansion,30
500,seen,factorization,factorization,20
500,seen,iteration,iteration,10
500,seen,proportional_scaling,proportional_scaling,10
500,seen,substitution,substitution,30
500,unseen,cross_multiplication,cross_multiplication,10
500,unseen,elimination,elimination,4
500,unseen,elimination,substitution,6
500,unseen,expansion,expansion,30
500,unseen,factorization,expansion,7
500,unseen,factorization,factorization,13
500,unseen,iteration,iteration,10
500,unseen,proportional_scaling,multiplication,10
500,unseen,substitution,substitution,30
